Gene symbol	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils
TEP1	13	15.88	6.81	98.36	13.18	95.05	15.48	8.39	9.25	9.55	181.4	91.57	16.11	8.99	69.87	112.2	48.07	12.24	13.6	5.71	8.37	12
TGM5	60.13	72	785.59	47.9	41.47	47.09	40.98	33.24	71.19	82.63	56.85	60.68	64.53	55.85	69.98	126.55	58.76	77.89	118.5	160.11	152.16	82.76
TLR2	81.54	113.71	115.99	120.53	135.73	126.84	102.09	151.85	81.99	438.59	138.33	140.22	4560.19	793.7	4668.36	3071.45	1202.76	487.13	680.79	1591.23	118.7	5374.8
TLR7	49.81	102.5	37.62	8	58.37	9.71	7.26	36.3	49.58	84.86	31.84	10.84	570.65	34.35	966.71	546.93	35.2	60.12	33.45	22.98	158.43	20.09
TLR8	7.58	6.71	19.45	5.7	5.57	6.83	5.73	39.48	5.72	91.6	5.83	6.11	1522.07	646.61	2380.2	1082.1	553.72	667.19	19.06	9.5	7.37	1719.87
TMEM156	574.5	577.03	771.38	168.08	114.83	152.98	334.2	276.91	221.73	207.16	138.88	141.96	23.45	26.25	17.47	21.16	30.89	23.23	23.74	29.25	288.55	51.45
TMEM255A	64.48	43.77	47.16	38.72	5.08	22.21	16.47	4.57	52.65	63.73	49.64	29.92	66.85	354.63	289.16	167.02	926.14	979.66	43.73	12.86	3.96	37.11
TNFAIP6	267.92	259.89	141.18	81.29	36.72	94.25	79.12	63.62	131.89	147.68	123.77	145.82	233.44	347.16	19190.62	325.36	245.95	8826.49	253.26	2285.7	203.28	3460.95
TNFRSF10C	44.85	28.85	27.82	27.04	25.78	57.29	44.91	21.96	33.97	39.13	20.07	37.58	237.91	48.18	42.18	75.93	53.99	48.91	79.23	82.62	288.98	3919.77
TNFRSF11A	50.03	32.37	28.04	9.86	6.82	22.08	45.77	14.46	930.53	87.7	86.13	68.56	17.84	37.9	74.82	396.39	281.48	708.13	24.87	80.59	12.25	67.76
TNFRSF13B	502.69	1498.26	1292.53	181.96	307.7	120.08	138.99	181.95	379.55	372.42	227.5	167.07	188.01	158.64	240.99	171.91	167.56	186.02	163.09	187.86	290.79	342.78
TNFRSF17	22.6	247.61	7744.02	13.82	4.35	13.44	7.95	7.86	41.18	10.04	12.51	8.91	10.11	10.59	9.41	13.52	10.59	17.52	7.23	6.53	20.99	9.35
TNFRSF4	15.02	14.83	142.83	18.71	22.21	524.48	1997.16	1178.44	2852.97	21.35	195.89	697.7	17.77	20.74	1462.5	441.13	203.48	1646.19	76.95	347.4	25.15	28.19
TNFSF14	10.08	9.72	9.56	92.32	28.21	59.18	428.35	168.84	258.14	17.77	362.1	2050.82	35.07	936.66	20.45	16.05	17.95	8.69	13.5	66.46	291.78	614.12
TNIP3	14.13	31.87	12.33	70.5	64.73	30.8	446.31	257.64	48.15	43.91	18.26	11.87	14.52	241.17	1192.71	17.36	23.12	47.48	42.85	106.08	41.53	15.74
TPSAB1	1102.3	794.72	151.73	376.04	43.37	284.82	147.27	481.07	28.79	262.64	465.22	311.74	543.63	358.1	368.91	365.48	397.89	396.86	27467.09	29437.29	918.51	1033.13
TRAC	572.51	1006.35	215.83	13721.46	14057.43	15532.16	8731.94	20117.66	19538.5	3189.24	815.68	506.05	208.98	252.24	151.32	142.61	215.62	255.94	159.57	187.17	880.09	790.01
TRAF4	194.8	450.38	103.83	27.42	35.39	88.22	248.21	107.5	48.57	40.01	54.55	70.61	28.3	30.41	23.06	23.7	39.86	30.04	166.03	185.66	80.71	48.24
TRAT1	13.58	15.99	17.4	816.74	2327.16	2578.36	1616.34	1427.7	448.3	1435.57	25.39	41.18	6.85	13.34	6.32	4.27	10.65	29.3	33.59	35.54	193.05	10.38
TRAV12-2	13.14	12.2	9.56	225.38	99.38	100.61	12.97	85.71	9.54	11.61	11.09	9.78	10.63	10.29	10.57	8.46	12.87	11.69	7.56	9.15	11.6	15.47
TRAV13-1	88.74	72.48	40.56	463.2	537.61	881.56	411.16	707.25	138.69	76.99	42.45	28.31	29.72	23.49	37.78	12.26	32.45	36.23	66.14	35.76	29.26	75
TRAV13-2	72.69	67.19	68.66	369.28	411.16	639.8	201.53	381.33	191.41	38.55	44.35	55.65	56.86	51.02	35.79	39.12	41.22	67.14	25.93	33.84	55.63	88.05
TRAV21	119.89	65.25	125.13	439.36	417.5	765.3	157.59	463.36	2763.36	49.08	55.88	46.64	51.32	42.96	31.47	36.24	52.03	17.86	79.47	72.06	196.24	88.25
TRAV8-6	24.56	22.14	18.81	244.11	317.79	396.12	172.84	439.23	676.14	22.67	18.3	15.4	34.39	25.31	19.2	13.2	24.17	22.77	22.74	36.64	23.44	65.39
TRAV9-2	60.44	91.39	39.21	220.37	498.46	911.84	448.87	656.98	1958.9	114	56.17	22.09	47.78	27.29	23.52	17.66	27.74	33.55	14.89	38.64	102.81	130.92
TRBC1	575.85	930.33	525.05	8923.92	12460.74	10179.78	3287.84	16623.71	19876.21	5338.32	4520.51	2812.59	78.94	56.83	223.5	131.1	189.12	145.72	114.6	47.87	551.51	181.01
